"movies","genre","rating","stars","votes","runtime","gross"
"LUV","
Crime, Drama            ",6,"
    Director:
Sheldon Candis
| 
    Stars:
Common, 
Michael Rainey Jr., 
Dennis Haysbert, 
Danny Glover
",2136,94,0.14
"Touchy Feely","
Comedy, Drama            ",5.3,"
    Director:
Lynn Shelton
| 
    Stars:
Rosemarie DeWitt, 
Elliot Page, 
Josh Pais, 
Scoot McNairy
",3615,88,0.04
"Generation Iron","
Documentary, Drama, Sport            ",7.1,"
    Director:
Vlad Yudin
| 
    Stars:
Arnold Schwarzenegger, 
Mickey Rourke, 
Michael Jai White, 
Lou Ferrigno
",7715,106,0.85
"Sleep, My Love","
Drama, Film-Noir, Mystery            ",6.8,"
    Director:
Douglas Sirk
| 
    Stars:
Claudette Colbert, 
Robert Cummings, 
Don Ameche, 
Rita Johnson
",1631,97,1.8
"Bethany Hamilton: Unstoppable","
Documentary, Sport            ",7.4,"
    Director:
Aaron Lieber
| 
    Stars:
Alana Blanchard, 
Adam Dirks, 
Tobias Dirks, 
Madison Graber
",619,100,0.59
"Bettie Page Reveals All","
Documentary, Biography            ",7.1,"
    Director:
Mark Mori
| 
    Stars:
Bettie Page, 
Hugh Hefner, 
Olivia de Berardinis, 
Dita Von Teese
",1459,101,0.1
"The Short Game","
Documentary, Sport            ",7.3,"
    Director:
Josh Greenbaum
| 
    Stars:
Amari Avery, 
Jed Dy, 
Allan Kournikova, 
Zamokuhle Nxasana
",1439,99,0.04
"Al midan","
Documentary, Drama, History            ",8.1,"
    Director:
Jehane Noujaim
| 
    Stars:
Ahmed Hassan, 
Khalid Abdalla, 
Magdy Ashour, 
Ramy Essam
",8795,108,0.12
"Supermensch: The Legend of Shep Gordon","
Documentary, Biography, Music            ",7.4,"
    Directors:
Beth Aala, 
Mike Myers
| 
    Stars:
Shep Gordon, 
Sylvester Stallone, 
Michael Douglas, 
Alice Cooper
",3218,85,0.21
"Nanking","
Biography, History, War            ",7.6,"
    Directors:
Bill Guttentag, 
Dan Sturman
| 
    Stars:
Hugo Armstrong, 
Rosalind Chao, 
Stephen Dorff, 
John Getz
",3416,90,0.16
"Praia do Futuro","
Drama, Romance            ",6.4,"
    Director:
Karim Aïnouz
| 
    Stars:
Wagner Moura, 
Clemens Schick, 
Jesuíta Barbosa, 
Fred Lima
",2939,106,0.02
"Morris from America","
Comedy, Drama, Romance            ",6.2,"
    Director:
Chad Hartigan
| 
    Stars:
Markees Christmas, 
Craig Robinson, 
Carla Juri, 
Patrick Güldenberg
",5201,91,0.09
"Orgasm Inc.","
Documentary            ",5.9,"
    Director:
Elizabeth Canner
| 
    Stars:
Elizabeth Canner, 
Darby Stephens, 
Virgil Place, 
Leland Wilson
",535,73,0.05
"Peter and the Farm","
Documentary            ",7.1,"
    Director:
Tony Stone
| 
    Star:
Peter Dunning
",713,91,0.02
"Yosemite","
Drama            ",4.8,"
    Director:
Gabrielle Demeestere
| 
    Stars:
James Franco, 
Everett Meckler, 
Alec Mansky, 
Calum John
",830,80,0.01
"I Called Him Morgan","
Documentary, Drama, History            ",7.3,"
    Director:
Kasper Collin
| 
    Stars:
Lee Morgan, 
Helen Morgan, 
Wayne Shorter, 
Larry Reni Thomas
",1649,92,0.1
"The Fluffy Movie: Unity Through Laughter","
Documentary, Comedy            ",7.3,"
    Directors:
Manny Rodriguez, 
Jay Lavender
| 
    Stars:
Gabriel Iglesias, 
Jacqueline Obradors, 
Gina Brillon, 
Alfred Robles
",3726,101,2.83
"King's Faith","
Drama            ",6.4,"
    Director:
Nicholas DiBella
| 
    Stars:
Crawford Wilson, 
Lynn Whitfield, 
James McDaniel, 
Kayla Compton
",744,108,0.09
"The Sunshine Makers","
Documentary, History            ",7,"
    Director:
Cosmo Feilding-Mellen
| 
    Stars:
Tim Scully, 
Nick Sand, 
Alice Einhorn, 
Billy Hitchcock
",1344,101,0.01
"Alive Inside","
Documentary, News            ",8.2,"
    Director:
Michael Rossato-Bennett
| 
    Stars:
Dan Cohen, 
Louise Dueno, 
Nell Hardie, 
Norman Hardie
",3058,78,0.15
"Gimme the Loot","
Comedy, Crime, Drama            ",6.6,"
    Director:
Adam Leon
| 
    Stars:
Ty Hickson, 
Tashiana Washington, 
Joshua Rivera, 
Zoë Lescaze
",2461,79,0.1
"Kevin Hart: Let Me Explain","
Documentary, Comedy            ",6.8,"
    Directors:
Leslie Small, 
Tim Story
| 
    Stars:
Kevin Hart, 
Harry Ratchford, 
Will 'Spank' Horton, 
Joey Wells
",8731,75,32.24
"The Overnighters","
Documentary, Drama            ",7.4,"
    Director:
Jesse Moss
| 
    Stars:
Jay Reinke, 
Andrea Reinke, 
Alan Mezo, 
Shelly Schultz
",2386,102,0.11
"Video Games: The Movie","
Documentary, Animation, History            ",6.1,"
    Director:
Jeremy Snead
| 
    Stars:
Sean Astin, 
Al Alcorn, 
Peter Armstrong, 
Cliff Bleszinski
",5421,101,0.02
"War of the Worlds: Goliath","
Animation, Action, Adventure            ",5.4,"
    Director:
Joe Pearson
| 
    Stars:
Adam Baldwin, 
Beau Billingslea, 
Kim Buckingham, 
Jim Byrnes
",1134,85,0.01
"The Bad Kids","
Documentary            ",7,"
    Directors:
Keith Fulton, 
Louis Pepe
| 
    Stars:
Vonda Viland, 
Julia Alexander, 
Laura Ambrosius, 
Robert Bartz
",612,101,0
"Good Ol' Freda","
Documentary, Biography, History            ",7.3,"
    Director:
Ryan White
| 
    Stars:
Freda Kelly, 
Paul McCartney, 
John Lennon, 
George Harrison
",1930,86,0.14
"The Music of Strangers","
Documentary, Music            ",7.7,"
    Director:
Morgan Neville
| 
    Stars:
Yo-Yo Ma, 
Kinan Azmeh, 
Kayhan Kalhor, 
Cristina Pato
",696,96,1.16
"Life's a Breeze","
Comedy, Drama            ",6.3,"
    Director:
Lance Daly
| 
    Stars:
Kelly Thornton, 
Fionnula Flanagan, 
Pat Shortt, 
Eva Birthistle
",1103,83,0
"The Reconstruction of William Zero","
Drama, Mystery, Sci-Fi            ",5.4,"
    Director:
Dan Bush
| 
    Stars:
Conal Byrne, 
Amy Seimetz, 
Scott Poythress, 
Lake Roberts
",1147,98,0
"Dayveon","
Drama            ",6.3,"
    Director:
Amman Abbasi
| 
    Stars:
Devin Blackmon, 
Dontrell Bright, 
Lachion Buckingham, 
Kordell Johnson
",501,75,0
"Green is Gold","
Crime, Drama            ",6,"
    Director:
Ryon Baxter
| 
    Stars:
Derek W. Adam, 
Jimmy Baxter, 
Ryon Baxter, 
Billy Bodie
",945,81,0
"The Final Year","
Documentary            ",6.4,"
    Director:
Greg Barker
| 
    Stars:
Ben Rhodes, 
Samantha Power, 
John Kerry, 
Susan Rice
",3191,89,0.19
"Pandora's Promise","
Documentary            ",7.4,"
    Director:
Robert Stone
| 
    Stars:
Stewart Brand, 
Richard Rhodes, 
Gwyneth Cravens, 
Mark Lynas
",1858,87,0.07
"Revenge of the Electric Car","
Documentary            ",7.2,"
    Director:
Chris Paine
| 
    Stars:
Tim Robbins, 
Dan Neil, 
Danny DeVito, 
Ray Wert
",1808,90,0.15
"Being Elmo: A Puppeteer's Journey","
Documentary            ",7.6,"
    Directors:
Constance Marks, 
Philip Shane
| 
    Stars:
Kevin Clash, 
Whoopi Goldberg, 
Frank Oz, 
Bill Barretta
",6897,80,0.3
"Meet the Mormons","
Documentary            ",6.8,"
    Director:
Blair Treu
| 
    Stars:
Jermaine Sullivan, 
Ken Niumatalolo, 
Carolina Muñoz Marin, 
Bishnu Adhikari
",1973,78,5.88
"Dear Mr. Watterson","
Documentary            ",6.4,"
    Director:
Joel Allen Schroeder
| 
    Stars:
Berkeley Breathed, 
Jef Mallett, 
Stephan Pastis, 
Seth Green
",1834,89,0.01
"An Act of War","
Crime, Drama, Thriller            ",5.2,"
    Director:
Ryan M. Kennedy
| 
    Stars:
Russ Russo, 
Natasha Alam, 
Doug E. Doug, 
Joseph R. Gannascoli
",1422,99,0.11
